Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
3800.0,399,806.414,162230,64792,97379,0.01518
3810.0,399,806.3299,162629,64851,97719,0.01517
3820.0,399,806.246,163028,64910,98059,0.01516
3830.0,399,806.1621,163427,64969,98399,0.01515
3840.0,399,806.0765,163826,65028,98739,0.01514
3850.0,399,805.9904,164225,65087,99079,0.01513
3860.0,399,805.9093,164624,65146,99419,0.01512
3870.0,399,805.827,165023,65205,99759,0.01511
3880.0,399,805.7409,165422,65264,100099,0.01511
3890.0,398,805.6567,165820,65323,100439,0.0151
3900.0,398,805.5722,166218,65381,100779,0.01509
3910.0,398,805.4924,166616,65439,101119,0.01508
3920.0,398,805.4139,167014,65497,101459,0.01507
3930.0,398,805.3314,167412,65555,101799,0.01506
3940.0,398,805.2525,167810,65613,102139,0.01506
3950.0,397,805.1741,168207,65671,102479,0.01505
3960.0,397,805.1018,168604,65728,102819,0.01504
3970.0,397,805.025,169001,65785,103159,0.01503
3980.0,397,804.9504,169398,65842,103499,0.01502
3990.0,397,804.8722,169795,65899,103839,0.01501
4000.0,397,804.7971,170192,65956,104179,0.01501
4010.0,396,804.7192,170588,66013,104519,0.015
4020.0,396,804.6487,170984,66069,104859,0.01499
4030.0,396,804.5739,171380,66125,105199,0.01498
4040.0,395,804.5012,171775,66181,105539,0.01497
4050.0,395,804.4307,172170,66236,105879,0.01497
4060.0,395,804.3597,172565,66291,106219,0.01496
4070.0,395,804.2905,172960,66346,106559,0.01495
4080.0,395,804.2197,173355,66401,106899,0.01494
4090.0,395,804.1479,173750,66456,107239,0.01493
4100.0,395,804.0769,174145,66511,107579,0.01493
4110.0,395,804.006,174540,66566,107919,0.01492
4120.0,395,803.9382,174935,66621,108259,0.01491
4130.0,395,803.8666,175330,66676,108599,0.0149
4140.0,395,803.7962,175725,66731,108939,0.0149
4150.0,395,803.7235,176120,66786,109279,0.01489
4160.0,395,803.6544,176515,66841,109619,0.01488
4170.0,395,803.5825,176910,66896,109959,0.01487
4180.0,395,803.5157,177305,66951,110299,0.01486
4190.0,395,803.4453,177700,67006,110639,0.01486
4200.0,395,803.3742,178095,67061,110979,0.01485
4210.0,395,803.3036,178490,67116,111319,0.01484
4220.0,395,803.2345,178885,67171,111659,0.01483
4230.0,394,803.1651,179279,67226,111999,0.01483
4240.0,394,803.0964,179673,67280,112339,0.01482
4250.0,394,803.0278,180067,67334,112679,0.01481
4260.0,394,802.9615,180461,67388,113019,0.0148
4270.0,394,802.8957,180855,67442,113359,0.0148
